channel,program,region
公共電視,長不大的爸爸,國語
公共電視,我的這一班,國語
年代東風,天涯赤子心,大陸
客家電視,日頭下月光光,客語
客家電視,派遣女王,日本
客家電視,三隻小蟲,客語
客家電視,花樹下的約定,客語
客家電視,落日,客語
中天綜合,超級大英雄,國語
中天綜合,蘭陵王,大陸
中天綜合,武媚娘傳奇,大陸
中天綜合,當婆婆遇上媽,大陸
台視,皮諾丘,韓國
台視,春梅,台語
台視,他看她的第2眼,國語
台視,哇！陳怡君,國語
台視,再說一次我願意,國語
台視,十月圍城,大陸
台視,新世界,國語
台視,回到愛以前,國語
民視無線,星座愛情雙魚女,國語
民視無線,廉政英雄,國語
民視無線,嫁妝,國語
民視無線,水滸傳,大陸
民視無線,世間路,台語
民視無線,西遊記,大陸
民視無線,Yes_Sir新兵日記之特戰英雄,國語
民視無線,嫁妝 精華版,國語
華視,倚天屠龍記,大陸
華視,犀利仁師,大陸
華視,一代新兵之八極少年,國語
華視,金牌老爸,國語
華視,千金女賊,大陸
華視,艋舺燿輝,國語
高點綜合,大清風雲,大陸
高點綜合,穆桂英掛帥,大陸
高點綜合,江南傳奇之十五貫,大陸
高點綜合,大長今,韓國
高點綜合,流星蝴蝶劍,國語
高點綜合,大明王朝驚變錄,大陸
高點綜合,乾隆王朝,大陸
高點綜合,藥草世家,大陸
八大第一,思慕的人,台語
八大第一,民間劇場,台語
八大第一,台灣奇案,台語
八大第一,親家,台語
八大第一,相愛十年,大陸
八大第一,神探狄仁傑,大陸
八大第一,香格里拉,台語
東森戲劇,邱比特的圈套,泰國
東森戲劇,女人30情定水舞間,國語
東森戲劇,魔法麵包店,韓國
東森戲劇,給美麗的你,韓國
東森戲劇,冷暖人間,日本
TVBS歡樂,忠奸人,香港
TVBS歡樂,金枝慾孽Ⅱ,香港
TVBS歡樂,哇！陳怡君,國語
TVBS歡樂,衝上雲霄_第2季,香港
TVBS歡樂,食為奴,香港
TVBS歡樂,名門暗戰,香港
TVBS歡樂,白袍下的高跟鞋,國語
TVBS歡樂,天梯,香港
緯來戲劇,台灣奇案,台語
緯來戲劇,新兵日記,國語
緯來戲劇,包青天,國語
緯來戲劇,愛在屋簷下,韓國
緯來戲劇,天國的眼淚,韓國
緯來戲劇,小媳婦女王,韓國
緯來戲劇,來自星星的你,韓國
緯來戲劇,白色謊言,韓國
緯來戲劇,千方百計愛上你,泰國
緯來戲劇,美女的誕生,韓國
霹靂台灣,一定愛幸福,大陸
霹靂台灣,痞子英雄,國語
霹靂台灣,今夜作夢也會笑,台語
霹靂台灣,大姐當家,台語
霹靂台灣,一定要幸福,日本
緯來綜合,新戲說台灣,台語
緯來綜合,台灣社會檔案,國語
緯來綜合,幸福的反擊,韓國
緯來綜合,小兒難養,大陸
緯來綜合,藍色水玲瓏,國語
緯來綜合,咱們結婚吧,大陸
公視HD,深夜食堂_第3季,日本
公視HD,落日,客語
公視HD,熱血青春,國語
公視HD,新丁花開,客語
公視HD,我的這一班,國語
緯來育樂,西遊記,大陸
緯來育樂,小兩口,大陸
緯來育樂,趙氏孤兒,大陸
緯來育樂,新水滸傳,大陸
三立台灣,戲說台灣,台語
三立台灣,思慕的人,台語
三立台灣,世間情,台語
三立台灣,家和萬事興,台語
三立台灣,親家,台語
超視,嫁妝,國語
三立都會,他看她的第2眼,國語
三立都會,好想談戀愛,國語
三立都會,莫非，這就是愛情,國語
衛視中文,長不大的爸爸,國語
衛視中文,逆轉人生180天,韓國
衛視中文,誘惑,韓國
衛視中文,變身情人 (中文配音),韓國
中天娛樂,月娘,台語
中天娛樂,大丈夫,大陸
中天娛樂,武媚娘傳奇,大陸
中天娛樂,當婆婆遇上媽,大陸
中天娛樂,離婚，好嗎？ (台語版),大陸
年代MUCH,一代新兵之八極少年,國語
年代MUCH,結婚好嗎?,國語
八大綜合,未生,韓國
八大綜合,杉杉來了,大陸
八大綜合,終極一班_第3季,國語
八大綜合,看見味道的少女,韓國
八大綜合,無心法師,大陸
八大戲劇,同伊,韓國
八大戲劇,命中注定我愛你,國語
八大戲劇,歡樂一家親,韓國
八大戲劇,看見味道的少女,韓國
八大戲劇,後宮甄嬛傳,大陸
八大戲劇,歡樂滿屋,韓國
八大戲劇,意外人生,韓國
八大戲劇,惡靈05,國語
八大戲劇,旋風管家,國語
八大戲劇,家族的秘密,韓國
八大戲劇,霹靂MIT,國語
八大戲劇,公主小妹,國語
東森綜合,莫非，這就是愛情,國語
東森綜合,我的自由年代,國語
東森綜合,好想談戀愛,國語
東森綜合,當男人戀愛時,韓國
東森綜合,有愛一家人,國語
東森綜合,星座愛情獅子女,國語
中視,兵聖,大陸
中視,七個朋友,國語
中視,超級大英雄,國語
中視,阿爸的願望,台語
中視,武媚娘傳奇,大陸
中視,幸福三顆星,國語
中視,愛在異鄉,韓國
中視,大漢賢后衛子夫,大陸
八大娛樂,女人的戰爭,韓國
八大娛樂,第一劇場,台語
八大娛樂,光緒外傳,大陸
JET綜合,飯糰之家,國語
大愛電視,週日劇場-我愛美金,國語
大愛電視,大愛劇場-月娘,台語
大愛電視,長情劇展-意外的旅程,國語
台灣綜合,外鄉人,大陸
台灣綜合,婚前協議,大陸
高點育樂,煙雨斜陽,大陸
高點育樂,草根王,大陸
