program,region,channel,money
2015超級巨星紅白藝能大賞,台灣,台視,4000
2014超級巨星紅白藝能大賞,台灣,台視,4000
2012超級巨星紅白藝能大賞,台灣,台視,3000
第49屆電視金鐘獎,台灣,中視,2000
第25屆金曲獎,台灣,台視,1000
民視第一發發發.除夕特別節目,台灣,民視,1000
華人星光大道,台灣,中視,400
超級夜總會,台灣,三立,300
龍騰虎躍101,台灣,中視,300
超級星期天,台灣,華視,250
華視天王豬哥秀,台灣,華視,230
一字千金,台灣,公視,200
綜藝大國民,台灣,華視、東風衛視,200
全球中文音樂榜上榜,台灣,TVBS,150
Super star 我要當歌手,台灣,台視,150
紅白紅白我勝利,台灣,台視,150
萬秀豬王,台灣,中視,120
亞洲天團爭霸戰,台灣,華視,120
Power Sunday,台灣,華視,120
萬萬沒想到女王的密室第貳彈,台灣,台視,100
萬秀大勝利,台灣,中視,100
TVBS世足之夜,台灣,TVBS,100
我們的那首歌,台灣,華視,100
綜藝大集合,台灣,民視,100
綜藝大熱門,台灣,三立,100
超級接班人,台灣,台視,100
蘭帶廚神爭霸戰,台灣,中天,80
金牌麥克風,台灣,台視,80
豬哥壹級棒,台灣,壹電視,80
百萬小學堂,台灣,台視,80
挑戰101,台灣,中視,80
綜藝大哥大,台灣,中視,80
天才衝衝衝,台灣,華視,70
周末快樂頌,台灣,華視,70
星期天晚上的黃金夢,台灣,民視,70
絕對不單淳,台灣,東森,60
音樂滿江紅,台灣,八大,50
幸福A計畫,台灣,華視,50
瘋台灣大挑戰,台灣,旅遊生活頻道,50
康熙來了,台灣,中天,40
金頭腦,台灣,超視,40
冒險王,台灣,三立,38
女人我最大,台灣,TVBS,30
魔力全開,台灣,中視,30
大學生了沒,台灣,中天,30
食尚玩家,台灣,TVBS,30
全民大笑花,台灣,中天,30
10點名人堂,台灣,華視,30
周末熊新聞,台灣,TVBS,25
SS小燕之夜,台灣,中天,20
今晚誰當家,台灣,年代much,20
新兵進行曲,台灣,民視,20
33廚房,台灣,超視,20
天天哈哈笑,台灣,華視,15
景氣到我家,台灣,華視,10
有夢出頭天,合拍,年代much,250
全家都ok,合拍,年代much,120
奔跑吧兄弟（第二季）,大陸,浙江衛視,8333
女神的新衣,大陸,東方衛視,4866
中國好聲音,大陸,浙江衛視,3600
2天1夜,大陸,四川衛視,3000
我是歌手,大陸,湖南衛視,1800
百變大咖秀,大陸,湖南衛視,1469
完美邂逅,大陸,貴州衛視,600
花漾爺爺,韓國,tvN電視台,300
Music Bank,韓國,KBS電視台,265
Running Man,韓國,SBS電視台,170
全員逃走中,日本,富士電視台,2000
SMAP x SMAP,日本,關西電視台、富士電視台,1606
嵐的大運動會,日本,富士電視台,1285
