program,region,channel,money
拜金女王,台灣,華視、壹電視,600
巷弄裡的那家書店,台灣,華視,600
你照亮我星球,台灣,民視、八大,600
鑑識英雄,台灣,中視,400
K歌情人夢,台灣,衛視中文台,384
沒有名字的甜點店,台灣,公視,384
痞子英雄,台灣,公視,360
醉後決定愛上你,台灣,三立,350
命中注定我愛你,台灣,三立,300
飛越龍門客棧,台灣,TVBS,300
徵婚啟事,台灣,台視,250
真的漢子,台灣,壹電視,250
敗犬女王,台灣,三立,250
白色巨塔,台灣,中視,250
我可能不會愛你,台灣,八大,210
刺蝟男孩,台灣,公視,210
麻醉風暴,台灣,公視,200
16個夏天,台灣,公視,200
霹靂警花,台灣,中視,200
廉政英雄,台灣,民視,200
娘家,台灣,民視,200
倪亞達,台灣,三立,200
龍飛鳳舞,台灣,民視,160
剩女保鏢,台灣,三立,160
兩個爸爸,台灣,三立,150
魔界,台灣,衛視中文台,150
新兵日記,台灣,民視,138
光陰的故事,台灣,中視,130
夜市人生,台灣,民視,130
真情滿天下,台灣,三立,120
我們一家都是人,台灣,超視,120
世間情,台灣,三立,110
天下第一味,台灣,三立,108
金牌老爸,台灣,華視,100
那年，雨不停國,台灣,公視,100
萌學園之萌騎士傳奇,台灣,東森,100
再見阿郎,台灣,台視,100
雨後驕陽,台灣,台視,90
我的自由年代,台灣,三立,80
兄弟珍重,台灣,民視,80
媽媽請你也保重,台灣,民視,80
牽紙鷂的手,台灣,客家,80
流星花園,台灣,華視,75
薰衣草,台灣,三立,60
戲說台灣,台灣,三立,50
我愛有樂町,台灣,八大,40
武媚娘傳奇,大陸,湖南、浙江衛視,1562
新天龍八部,大陸,湖南、浙江衛視,1500
楚漢傳奇,大陸,浙江、安徽、天津、北京衛視,1500
秀麗江山之長歌行,大陸,尚未播出,1442
太極宗師,大陸,香港亞洲電視,1300
金粉世家,大陸,央視,1100
紅樓夢,大陸,北京衛視,1000
西遊記,大陸,浙江、天津、上海東方、雲南衛視,984
三國,大陸,江蘇、安徽、重慶、天津衛視,789
包青天之開封奇案,大陸,東南衛視,750
陸小鳳,大陸,深圳衛視,750
如果我愛你,大陸,湖南衛視,714
傾世皇妃,大陸,湖南衛視,681
飛天舞,大陸,韓國SBS電視台,600
淘女郎,大陸,江蘇衛視,583
向左走向右走,大陸,四川電視台,495
新倚天屠龍記,大陸,溫州電視台,425
大人物,大陸,央視,400
大唐雙龍傳,大陸,香港TVB翡翠台,380
後宮甄嬛傳,大陸,安徽、上海東方、江西、天津衛視,350
漢武大帝,大陸,央視,344
大唐芙蓉園,大陸,央視,333
金玉良緣,大陸,江蘇、深圳衛視,300
金大班,大陸,浙江、上海東方衛視、江蘇城市頻道,300
澀世紀傳說,大陸,愛奇藝,291
歡迎愛光臨,大陸,土豆網,250
蘭陵王,合拍,八大 ,869
花非花霧非霧,合拍,湖南衛視、華視,800
鎖夢樓,合拍,華視 ,700
回家,合拍,華視 ,441
戀香,合拍,台視,400
陽光天使,合拍,台視、八大 ,400
熊貓人,合拍,華視,400
心星的淚光,合拍,公視 ,300
戀夏38°C,合拍,中視 ,240
又見阿郎,合拍,央視、民視,162
太王四神記,韓國,MBC電視台,5000
IRIS,韓國,KBS電視台,2700
來自星星的你,韓國,SBS電視台,1762
奇皇后,韓國,MBC電視台,1328
製作人,韓國,KBS電視台,1200
命中注定我愛你,韓國,MBC電視台,950
善德女王,韓國,MBC電視台,867
妻子的誘惑,韓國,SBS電視台,100
仁醫,日本,TBS電視台,2100
家的記憶,日本,朝日電視台,1846
